College_Name,State,Fees,Rating
Barak Valley Engineering College - [BVEC],Unknown,Unknown,4.2
Barkatullah University - [BU],Unknown,Unknown,2.5
Barkatullah University Institute of Technology - [BUIT],Unknown,Unknown,6.0
Bengal College of Engineering and Technology - [BCET],Unknown,Unknown,7.5
Bengal Institute of Technology - [BIT],Unknown,Unknown,8.8
Bennett University,Unknown,Unknown,8.9
Bhagat Phool Singh Mahila Vishwavidyalaya - [BPSMV],Unknown,Unknown,7.7
Bhagwan Parshuram Institute of Technology - [BPIT],Unknown,Unknown,7.6
Bharat Institute of Engineering and Technology - [BIET] Ibrahimpatnam,Unknown,Unknown,8.3
"Bharath Institute of Higher Education and Research, College of Management",Unknown,Unknown,8.3
Bharath University - Bharath Institute of Higher Education and Research - [BIHER],Unknown,Unknown,7.8
"Bharathidasan Institute of Technology, Anna University - [AUBIT]",Unknown,Unknown,8.5
Bharati Vidyapeeth College of Engineering - [BVCOE] Navi Mumbai,Unknown,Unknown,6.7
Bharati Vidyapeeth Deemed University - [BVDU],Unknown,Unknown,9.1
Bharati Vidyapeeth University College of Engineering - [BVUCOE],Unknown,Unknown,5.7
Bharati Vidyapeeth's College  of Engineering - [BVCOE] Lavale,Unknown,Unknown,9.0
Bharati Vidyapeeth's College of Engineering - [BVCOE],Unknown,Unknown,8.2
Bhilai Institute of Technology - [BIT],Unknown,Unknown,6.1
Bipin Tripathi  Kumaon Institute of Technology,Unknown,Unknown,8.5
Birla Institute of Technology - [BIT Mesra],Unknown,Unknown,7.8
Birla Institute of Technology - [BIT],Unknown,Unknown,8.0
Birla Institute of Technology and Science - [BITS],Unknown,Unknown,9.0
Birla Vishvakarma Mahavidyalaya Engineering College - [BVM],Unknown,Unknown,7.7
Birsa Institute of Technology - [BIT] Sindri,Unknown,Unknown,7.4
Buddha Institute of Technology- [BIT],Unknown,Unknown,9.2
Budge Budge Institute of Technology - [BBIT],Unknown,Unknown,9.4
Bundelkhand Institute of Engineering & Technology - [BIET],Unknown,Unknown,7.4
"Bundelkhand University, Institute of Engineering and Technology",Unknown,Unknown,9.3
C Abdul Hakeem College of Engineering and Technology - [CAHCET],Unknown,Unknown,9.8
C. V. Raman Global University,Unknown,Unknown,8.1
CIPET- Institute Of Plastics Technology - [IPT],Unknown,Unknown,7.2
CMR College of Engineering & Technology - [CMRCET],Unknown,Unknown,7.8
CMR Engineering College - [CMREC],Unknown,Unknown,9.0
CMR Institute of Technology - [CMRIT],Unknown,Unknown,9.2
CMR Technical Campus - [CMRTC],Unknown,Unknown,8.8
CMR University - [CMRU],Unknown,Unknown,8.8
"CVR College of Engineering, Ibrahimpatnam",Unknown,Unknown,7.2
Calicut University Institute of Engineering Technology - [CUIET],Unknown,Unknown,6.9
Cambridge Institute of Technology - [CiTech],Unknown,Unknown,8.7
Camellia Institute of Technology - [CIT],Unknown,Unknown,6.0
Canara Engineering College - [CEC],Unknown,Unknown,7.3
Central Institute of Technology - [CIT],Unknown,Unknown,7.7
Central University of Haryana - [CUH],Unknown,Unknown,7.0
Centurion University of Technology and Management - [CUTM],Unknown,Unknown,7.5
"Chaibasa Engineering College, Techno India Group",Unknown,Unknown,5.3
Chaitanya Bharathi Institute of Technology - [CBIT],Unknown,Unknown,8.1
Chameli Devi Group of Institution,Unknown,Unknown,7.0
Chandigarh Group of Colleges - [CGC] Jhanjeri,Unknown,Unknown,7.0
Chandigarh Group of Colleges - [CGC] Landran,Unknown,Unknown,8.0
Chandigarh University - [CU],Unknown,Unknown,8.2
Chandubhai S Patel Institute of Technology - [CSPIT],Unknown,Unknown,8.8
Charotar University of Science and Technology - [CHARUSAT],Unknown,Unknown,9.8
Chartered Institute of Technology- [CIT],Unknown,Unknown,8.5
Chennai Institute of Technology - [CIT],Unknown,Unknown,9.0
Chitkara Institute of Engineering and Technology - [CIET],Unknown,Unknown,8.6
Chitkara University,Unknown,Unknown,7.5
Chitkara University - [CU],Unknown,Unknown,8.1
Christ College of Engineering - [CCEIJK] Irinjalakuda,Unknown,Unknown,7.5
Christ University,Unknown,Unknown,9.2
Co-operative Institute of Technology - [CITV],Unknown,Unknown,7.2
Cochin University of Science and Technology - [CUSAT],Unknown,Unknown,8.4
"Cochin University of Science and Technology, School of Engineering -[SOE] Thrikkakara",Unknown,Unknown,8.7
Coimbatore Institute of Technology - [CIT],Unknown,Unknown,4.7
College of Agricultural Biotechnology,Unknown,Unknown,8.8
College of Agricultural Engineering and Technology,Unknown,Unknown,7.4
College of Dairy and Food Science Technology - [CDFST],Unknown,Unknown,7.8
College of Engineering,Unknown,Unknown,8.0
College of Engineering  - [COEP],Unknown,Unknown,8.6
College of Engineering - [CEC] Chengannur,Unknown,Unknown,8.0
College of Engineering - [CEM] Munnar,Unknown,Unknown,8.2
College of Engineering - [COER],Unknown,Unknown,9.7
"College of Engineering And Management, Kolaghat",Unknown,Unknown,8.7
College of Engineering Muttathara,Unknown,Unknown,8.0
College of Engineering Perumon,Unknown,Unknown,8.3
College of Engineering and Management - [CEM] Punnapara,Unknown,Unknown,8.4
College of Engineering and Technology,Unknown,Unknown,6.2
College of Engineering and Technology - [CET],Unknown,Unknown,7.5
"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology - [CTAE]",Unknown,Unknown,7.5
"College of Technology,  GB Pant University of Agriculture & Technology",Unknown,Unknown,7.1
Coochbehar Government Engineering College,Unknown,Unknown,8.3
Cummins College Of Engineering For Women,Unknown,Unknown,9.3
D. Y. Patil College of Engineering,Unknown,Unknown,8.5
DIT University - [DIT],Unknown,Unknown,8.8
DKTE Society's Textile and Engineering Institute - [DKTE],Unknown,Unknown,8.8
DMI College of Engineering - [DMICE],Unknown,Unknown,2.2
DMI Engineering College,Unknown,Unknown,6.7
DN Patel College of Engineering - [DNPCE],Unknown,Unknown,6.5
DRIEMS Group of Institutions,Unknown,Unknown,5.3
DY Patil College of Engineering and Technology - [DYPCET],Unknown,Unknown,9.0
Darbhanga College of Engineering - [DCE],Unknown,Unknown,9.3
Datta Meghe College of Engineering Airoli,Unknown,Unknown,9.8
Dayalbagh Educational Institute - [DEI],Unknown,Unknown,7.8
Dayananda Sagar Academy of Technology and Management - [DSATM],Unknown,Unknown,8.7
Dayananda Sagar College of Engineering - [DSCE],Unknown,Unknown,8.7
Dayananda Sagar University - [DSU],Unknown,Unknown,9.0
Deenbandhu Chhotu Ram University of Science and Technology - [DCRUST],Unknown,Unknown,8.3
Delhi Institute of Tool Engineering - [DITE],Unknown,Unknown,7.2
Delhi Technical Campus - [DTC],Unknown,Unknown,7.6
Delhi Technological University - [DTU],Unknown,Unknown,8.4
Delhi University - [DU],Unknown,Unknown,9.7
Deogiri Institute of Engineering and Management Studies - [DIEMS],Unknown,Unknown,8.0
Devang Patel Institute of Advance Technology and Research - [DEPSTAR],Unknown,Unknown,8.3
Dhaanish Ahmed College of Engineering - [DACE],Unknown,Unknown,9.6
Dhanalakshmi College of Engineering - [DCE],Unknown,Unknown,7.5
Dhanalakshmi Srinivasan College of Engineering and Technology - [DSCET],Unknown,Unknown,8.8
Dhanekula Institute of Engineering and Technology - [DIET],Unknown,Unknown,8.5
Dharmsinh Desai University - [DDU],Unknown,Unknown,7.8
Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT],Unknown,Unknown,8.7
Dhole Patil College of Engineering - [DPCOE],Unknown,Unknown,8.7
Dibrugarh University,Unknown,Unknown,8.0
Don Bosco Institute of Technology - [DBIT],Unknown,Unknown,9.5
Dr BR Ambedkar National Institute of Technology - [NIT],Unknown,Unknown,9.0
Dr. A.P.J. Abdul Kalam Technical University - [AKTU],Unknown,Unknown,7.8
Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],Unknown,Unknown,8.1
Dr. Ambedkar Institute of Technology - [AIT],Unknown,Unknown,8.5
Dr. B.C. Roy Engineering College  - [BCREC],Unknown,Unknown,8.3
Dr. Babasaheb Ambedkar Technological University - [DBATU],Unknown,Unknown,7.7
